country,year,coal_twh,gas_twh,oil_twh,nuclear_twh,hydro_twh,solar_twh,wind_twh,other_renewables_twh,total_twh,renewables_share_pct,per_capita_kwh
France,2017,12.81,40.5,12.16,398.36,50.0,8.87,24.61,8.43,555.74,16.5,8513.0
France,2018,8.31,30.55,10.59,412.94,65.11,11.15,28.6,8.99,576.24,19.8,8795.0
France,2019,3.64,39.24,10.73,399.01,56.91,12.02,34.72,9.25,565.52,20.0,8604.0
France,2020,3.09,35.25,10.05,353.83,62.52,13.09,40.05,9.37,527.25,23.7,8000.0
France,2021,5.44,33.31,10.1,379.36,59.54,15.28,37.12,10.16,550.31,22.2,8327.0
France,2022,4.16,45.74,10.45,294.73,45.56,19.34,38.2,10.27,468.45,24.2,7068.0
France,2023,1.61,30.02,9.43,338.2,55.9,22.59,50.48,10.52,518.75,26.9,7808.0
Germany,1990,310.04,35.9,24.75,152.47,17.43,0.0,0.07,1.6,542.26,3.5,6803.0
Germany,1991,307.67,36.3,27.84,147.23,14.89,0.0,0.22,1.87,536.02,3.2,6675.0
Germany,1992,295.67,33.0,26.57,158.8,17.4,0.0,0.29,2.04,533.77,3.7,6595.0
Germany,1993,293.25,32.8,20.87,153.28,17.88,0.0,0.67,1.97,520.72,3.9,6390.0
Germany,1994,290.29,36.1,20.53,150.7,19.93,0.0,1.43,2.07,521.05,4.5,6372.0
Germany,1995,289.14,41.1,21.47,153.09,21.78,0.0,1.71,2.43,530.72,4.9,6471.0
Germany,1996,295.99,45.56,20.11,160.02,21.96,0.01,2.08,2.5,548.23,4.8,6664.0
Germany,1997,284.34,48.1,20.55,170.33,17.36,0.01,3.03,2.65,546.37,4.2,6632.0
Germany,1998,292.26,50.74,19.74,161.64,17.22,0.01,4.59,3.06,549.26,4.5,6697.0
Germany,1999,281.27,51.8,17.49,170.0,19.65,0.02,5.53,3.51,549.27,5.2,6725.0
Germany,2000,296.68,49.2,18.05,169.61,21.73,0.0,9.35,4.33,568.95,6.2,6956.0
Germany,2001,293.74,55.5,20.52,171.3,22.73,0.1,10.46,4.59,578.94,6.5,7066.0
Germany,2002,299.6,56.3,18.53,164.84,23.12,0.2,15.86,5.31,583.76,7.6,7113.0
Germany,2003,304.63,62.59,23.08,165.06,18.32,0.31,19.09,8.95,602.03,7.8,7332.0
Germany,2004,298.77,62.67,23.12,167.07,20.75,0.56,26.02,10.64,609.6,9.5,7426.0
Germany,2005,288.14,72.19,26.53,163.05,19.64,1.31,27.77,14.71,613.34,10.3,7475.0
Germany,2006,288.93,74.73,26.71,167.27,20.03,2.27,31.32,18.94,630.2,11.5,7713.0
Germany,2007,297.1,77.45,26.58,140.53,21.17,3.14,40.51,24.62,631.1,14.2,7763.0
Germany,2008,275.21,88.48,25.74,148.49,20.44,4.51,41.38,28.04,632.29,14.9,7795.0
Germany,2009,253.45,80.27,23.23,134.93,19.03,6.72,39.42,30.91,587.96,16.3,7265.0
Germany,2010,262.89,88.76,26.59,140.56,20.95,11.96,38.55,33.95,624.21,16.9,7722.0
Germany,2011,262.46,85.67,24.47,107.97,17.67,19.99,49.86,36.91,605.0,20.6,7482.0
Germany,2012,276.23,75.95,24.77,99.46,21.75,26.74,51.68,43.23,619.81,23.1,7660.0
Germany,2013,288.2,67.0,25.25,97.29,23.0,30.62,52.74,45.59,629.69,24.1,7770.0
Germany,2014,274.41,60.61,24.67,97.13,19.59,35.45,58.5,48.39,618.75,26.2,7604.0
Germany,2015,272.2,61.47,25.57,91.79,18.98,38.08,80.62,50.46,639.17,29.4,7787.0
Germany,2016,261.75,80.62,25.39,84.63,20.55,37.56,79.92,51.1,641.52,29.5,7752.0
Germany,2017,241.26,86.04,25.16,76.32,20.15,38.76,105.69,51.08,644.46,33.5,7755.0
Germany,2018,228.16,81.56,23.63,76.0,17.69,44.32,109.95,50.97,632.28,35.3,7584.0
Germany,2019,171.45,90.0,22.4,75.07,19.73,45.22,125.89,50.33,600.09,40.2,7182.0
Germany,2020,134.6,95.0,21.28,64.38,18.72,49.5,132.11,51.16,566.75,44.4,6777.0
Germany,2021,164.65,90.31,22.24,69.13,19.66,49.34,114.16,49.34,578.83,40.2,6916.0
Germany,2022,179.93,79.05,21.65,34.71,17.62,60.3,124.81,48.81,566.88,44.4,6742.0
Germany,2023,124.78,76.66,20.96,7.22,21.24,63.87,140.54,51.45,506.72,54.7,5993.0
India,1990,191.63,9.96,13.31,6.39,66.4,0.0,0.03,0.04,287.76,23.1,333.0
India,1991,214.12,13.36,13.44,5.41,73.92,0.0,0.11,0.1,320.46,23.1,363.0
India,1992,229.41,16.26,14.81,6.4,70.06,0.0,0.09,0.12,337.15,20.8,373.0
India,1993,252.78,17.88,14.21,6.23,70.73,0.0,0.1,0.25,362.18,19.6,393.0
India,1994,264.61,21.88,15.75,4.95,80.21,0.0,0.19,0.38,387.97,20.8,412.0
India,1995,296.29,29.43,16.83,7.62,75.92,0.0,0.5,0.56,427.15,18.0,445.0
India,1996,312.23,32.02,19.85,8.4,69.06,0.01,0.88,0.76,443.2,16.0,452.0
India,1997,325.83,40.18,20.89,10.07,70.21,0.01,0.99,0.98,469.15,15.4,470.0
India,1998,336.48,50.17,21.04,11.37,83.63,0.01,1.08,1.29,505.08,17.0,496.0
India,1999,365.44,59.01,24.8,12.73,82.25,0.01,1.45,1.69,547.36,15.6,527.0
India,2000,390.23,55.96,29.16,15.77,76.99,0.01,1.58,1.69,571.39,14.0,540.0
India,2001,408.29,55.93,26.79,18.89,72.02,0.01,2.09,2.07,586.09,13.0,544.0
India,2002,426.7,62.88,27.93,19.35,68.54,0.01,2.09,2.14,609.64,11.9,555.0
India,2003,441.47,72.8,31.09,18.14,69.3,0.02,2.6,2.71,638.13,11.7,571.0
India,2004,463.01,76.58,28.27,21.26,100.64,0.02,5.23,3.31,698.32,15.6,615.0
India,2005,478.48,75.47,25.37,17.73,97.42,0.02,5.99,4.04,704.52,15.3,610.0
India,2006,505.46,74.7,19.08,17.63,112.62,0.01,9.34,5.59,744.43,17.1,635.0
India,2007,533.27,90.05,13.36,17.83,122.61,0.06,11.68,7.4,796.26,17.8,669.0
India,2008,573.12,85.88,15.27,15.23,115.17,0.06,14.38,9.3,828.41,16.8,686.0
India,2009,611.11,104.37,13.08,16.82,106.34,0.08,16.27,10.56,878.63,15.2,717.0
India,2010,642.97,118.03,10.78,23.08,108.74,0.11,19.46,13.22,936.39,15.1,753.0
India,2011,701.25,117.56,9.35,32.22,131.7,0.83,23.95,15.46,1032.32,16.7,819.0
India,2012,787.13,96.25,10.07,33.14,115.78,2.1,27.43,16.52,1088.42,14.9,851.0
India,2013,847.97,66.31,10.65,33.31,131.98,3.43,30.01,17.57,1141.23,16.0,881.0
India,2014,949.93,64.01,11.55,34.69,139.0,4.91,33.45,21.14,1258.68,15.8,959.0
India,2015,1006.55,64.77,9.26,38.31,133.48,7.09,32.74,18.36,1310.56,14.6,987.0
India,2016,1073.6,72.62,9.41,37.9,128.55,12.2,43.45,17.2,1394.93,14.4,1038.0
India,2017,1115.24,74.99,8.79,37.41,135.98,22.36,52.63,14.99,1462.39,15.5,1076.0
India,2018,1198.86,71.26,6.4,39.05,139.92,37.45,60.31,18.4,1571.65,16.3,1143.0
India,2019,1198.76,71.95,3.07,45.16,162.29,37.45,63.31,18.99,1600.98,17.6,1153.0
India,2020,1143.78,74.79,3.09,44.61,163.94,52.91,60.43,19.88,1563.43,19.0,1115.0
India,2021,1255.56,60.4,3.39,43.92,160.57,65.59,68.09,21.2,1678.72,18.8,1187.0
India,2022,1344.42,46.17,3.48,46.19,175.09,95.92,70.05,23.29,1804.61,20.2,1266.0
India,2023,1445.44,50.8,3.85,48.2,149.43,115.42,82.11,23.01,1918.26,19.3,1334.0
Indonesia,1990,9.77,3.4,12.32,0.0,6.49,0.0,0.0,1.13,33.12,23.0,180.0
Indonesia,1991,11.05,4.35,14.24,0.0,7.41,0.0,0.0,1.05,38.1,22.2,204.0
Indonesia,1992,11.36,3.25,14.94,0.0,9.64,0.0,0.0,1.09,40.28,26.6,212.0
Indonesia,1993,10.68,4.32,14.72,0.0,8.89,0.0,0.0,1.09,39.71,25.1,205.0
Indonesia,1994,12.8,12.33,11.2,0.0,7.98,0.0,0.0,1.6,45.93,20.9,234.0
Indonesia,1995,14.37,20.67,8.58,0.0,8.29,0.0,0.0,2.21,54.12,19.4,271.0
Indonesia,1996,16.67,21.86,9.17,0.0,8.82,0.0,0.0,2.34,58.87,19.0,290.0
Indonesia,1997,20.47,29.61,12.01,0.0,5.87,0.0,0.0,2.73,70.69,12.2,342.0
Indonesia,1998,22.44,31.07,9.53,0.0,10.36,0.0,0.0,3.29,76.69,17.8,366.0
Indonesia,1999,26.34,33.5,9.81,0.0,10.38,0.0,0.0,3.94,83.97,17.1,394.0
Indonesia,2000,34.0,31.93,12.51,0.0,10.02,0.0,0.0,9.58,98.04,20.0,454.0
Indonesia,2001,37.71,33.09,13.17,0.0,11.65,0.0,0.0,10.54,106.16,20.9,485.0
Indonesia,2002,42.93,29.26,19.85,0.0,9.93,0.0,0.0,11.07,113.04,18.6,509.0
Indonesia,2003,46.46,27.95,23.16,0.0,9.1,0.0,0.0,10.72,117.39,16.9,522.0
Indonesia,2004,48.21,26.76,28.84,0.0,9.67,0.0,0.0,11.3,124.78,16.8,547.0
Indonesia,2005,51.83,21.7,36.7,0.0,10.73,0.0,0.0,11.93,132.89,17.1,576.0
Indonesia,2006,58.67,23.95,34.2,0.0,9.62,0.0,0.0,11.56,138.0,15.3,590.0
Indonesia,2007,63.9,24.8,35.41,0.0,11.29,0.0,0.0,13.0,148.4,16.4,626.0
Indonesia,2008,61.49,27.76,40.31,0.0,11.53,0.0,0.0,14.81,155.9,16.9,649.0
Indonesia,2009,65.91,40.4,29.77,0.0,11.38,0.0,0.0,15.41,162.87,16.4,670.0
Indonesia,2010,68.48,38.83,35.62,0.0,17.46,0.0,0.0,17.17,177.56,19.5,721.0
Indonesia,2011,81.09,39.16,41.17,0.0,12.42,0.0,0.0,18.04,191.88,15.9,769.0
Indonesia,2012,102.17,48.92,26.76,0.0,12.8,0.0,0.0,18.31,208.96,14.9,827.0
Indonesia,2013,111.25,58.05,20.38,0.0,16.92,0.01,0.0,18.57,225.18,15.8,880.0
Indonesia,2014,119.53,60.54,23.06,0.0,15.16,0.01,0.0,19.24,237.54,14.5,918.0
Indonesia,2015,124.66,54.14,30.92,0.0,13.74,0.01,0.0,19.81,243.28,13.8,929.0
Indonesia,2016,135.38,61.79,20.8,0.0,18.68,0.02,0.01,20.87,257.55,15.4,973.0
Indonesia,2017,147.96,55.83,18.85,0.0,18.63,0.03,0.0,24.53,265.83,16.2,994.0
Indonesia,2018,160.01,57.45,17.95,0.0,21.64,0.09,0.19,26.46,283.79,17.0,1051.0
Indonesia,2019,174.49,62.32,10.59,0.0,21.16,0.12,0.48,26.28,295.44,16.3,1084.0
Indonesia,2020,180.87,51.28,6.78,0.0,24.33,0.17,0.47,27.92,291.82,18.1,1062.0
Indonesia,2021,189.96,56.53,6.67,0.0,24.7,0.19,0.44,30.87,309.36,18.2,1118.0
Indonesia,2022,205.31,56.71,6.11,0.0,27.3,0.44,0.36,37.31,333.54,19.6,1196.0
Indonesia,2023,216.78,62.04,6.58,0.0,24.59,0.71,0.48,39.42,350.6,18.6,1247.0
Italy,1990,32.05,39.71,106.49,0.0,31.63,0.0,0.0,3.27,213.15,16.4,3737.0
Italy,1991,28.5,36.34,108.06,0.0,42.24,0.0,0.0,3.29,218.43,20.8,3827.0
Italy,1992,21.36,35.48,120.07,0.0,42.2,0.01,0.0,3.56,222.68,20.6,3898.0
Italy,1993,16.66,39.96,117.9,0.0,41.42,0.01,0.0,3.79,219.74,20.6,3844.0
Italy,1994,19.86,40.8,119.84,0.0,44.66,0.01,0.01,3.57,228.75,21.1,3984.0
Italy,1995,24.12,47.0,124.79,0.0,37.78,0.01,0.01,3.66,237.37,17.5,4135.0
Italy,1996,22.08,50.19,120.9,0.0,42.04,0.01,0.03,4.14,239.39,19.3,4188.0
Italy,1997,20.51,61.29,118.51,0.0,41.6,0.01,0.12,4.46,246.5,18.7,4310.0
Italy,1998,23.31,70.88,112.99,0.0,41.22,0.02,0.23,5.01,253.66,18.3,4433.0
Italy,1999,23.81,86.98,97.14,0.0,45.37,0.02,0.4,5.53,259.25,19.8,4529.0
Italy,2000,26.28,101.36,91.43,0.0,44.2,0.02,0.56,6.09,269.94,18.8,4713.0
Italy,2001,31.73,104.19,81.63,0.0,46.81,0.02,1.18,6.34,271.9,20.0,4745.0
Italy,2002,35.45,99.41,94.36,0.0,39.52,0.02,1.4,7.37,277.53,17.4,4833.0
Italy,2003,38.81,117.3,83.3,0.0,36.67,0.02,1.46,8.71,286.27,16.4,4958.0
Italy,2004,45.52,129.84,64.48,0.0,42.34,0.03,1.84,9.66,293.71,18.3,5049.0
Italy,2005,43.61,149.33,53.26,0.0,36.07,0.03,2.34,9.99,294.63,16.4,5035.0
Italy,2006,44.21,158.14,52.62,0.0,36.99,0.04,2.97,10.64,305.61,16.6,5201.0
Italy,2007,44.11,172.71,41.63,0.0,32.82,0.04,4.03,10.83,306.17,15.6,5180.0
Italy,2008,43.07,172.77,37.57,0.0,41.62,0.19,4.86,11.49,311.57,18.7,5231.0
Italy,2009,39.74,147.36,30.0,0.0,49.14,0.68,6.54,12.9,286.36,24.2,4780.0
Italy,2010,39.73,152.81,27.12,0.0,51.12,1.91,9.12,14.82,296.63,25.9,4930.0
Italy,2011,44.73,144.6,26.09,0.0,45.82,10.8,9.85,16.48,298.37,27.8,4943.0
Italy,2012,49.14,129.14,24.75,0.0,41.87,18.86,13.41,18.08,295.25,31.2,4878.0
Italy,2013,45.1,108.91,20.01,0.0,52.77,21.59,14.9,22.74,286.02,39.2,4716.0
Italy,2014,43.45,93.66,18.74,0.0,58.55,22.31,15.18,24.64,276.53,43.6,4558.0
Italy,2015,43.2,110.88,16.73,0.0,45.54,22.94,14.84,25.57,279.7,38.9,4617.0
Italy,2016,35.61,126.17,16.16,0.0,42.43,22.1,17.69,25.79,285.95,37.8,4728.0
Italy,2017,32.63,140.36,15.21,0.0,36.2,24.38,17.74,25.57,292.09,35.6,4837.0
Italy,2018,28.47,128.56,14.62,0.0,48.79,22.65,17.72,25.25,286.06,40.0,4746.0
Italy,2019,18.84,141.7,13.62,0.0,46.32,23.69,20.2,25.62,289.99,39.9,4823.0
Italy,2020,13.38,133.7,12.83,0.0,47.55,24.94,18.76,25.65,276.81,42.2,4620.0
Italy,2021,14.02,144.01,11.13,0.0,45.39,25.04,20.93,24.97,285.49,40.7,4780.0
Italy,2022,22.61,141.47,15.63,0.0,28.4,28.12,20.49,23.45,280.17,35.9,4699.0
Italy,2023,13.22,119.02,12.79,0.0,40.52,30.71,23.59,21.7,261.55,44.5,4396.0
Japan,1990,119.28,172.93,287.54,194.57,86.89,0.0,0.0,11.34,881.5,11.1,7143.0
Japan,1991,125.57,184.34,275.45,208.69,94.42,0.0,0.0,11.65,911.3,11.6,7356.0
Japan,1992,131.97,184.16,282.14,217.03,80.05,0.01,0.0,11.85,916.79,10.0,7371.0
Japan,1993,140.23,182.32,238.8,247.7,92.58,0.02,0.0,11.56,926.1,11.2,7418.0
Japan,1994,156.85,199.12,281.12,258.25,64.46,0.03,0.0,13.47,984.49,7.9,7858.0
Japan,1995,168.6,201.16,248.68,286.89,78.79,0.04,0.0,14.29,1010.88,9.2,8044.0
Japan,1996,178.44,212.92,237.26,296.5,77.17,0.05,0.0,15.25,1029.86,9.0,8175.0
Japan,1997,188.13,219.68,208.94,321.16,86.44,0.1,0.0,16.44,1054.86,9.8,8354.0
Japan,1998,192.23,230.1,192.4,325.97,89.08,0.14,0.01,16.17,1059.66,9.9,8374.0
Japan,1999,211.61,244.69,193.24,317.24,83.79,0.22,0.04,16.49,1079.14,9.3,8510.0
Japan,2000,238.24,258.5,182.78,319.12,84.47,0.34,0.11,16.11,1099.67,9.2,8657.0
Japan,2001,253.91,256.52,153.85,320.54,81.54,0.5,0.25,16.03,1083.14,9.1,8511.0
Japan,2002,264.42,252.76,172.99,314.26,80.6,0.69,0.41,16.94,1103.07,8.9,8653.0
Japan,2003,292.06,273.1,185.22,230.08,92.47,0.95,0.83,17.88,1092.59,10.3,8558.0
Japan,2004,295.39,257.86,169.64,285.87,91.67,1.27,1.44,18.05,1121.19,10.0,8772.0
Japan,2005,319.2,253.09,184.95,293.04,77.56,1.63,1.91,21.69,1153.07,8.9,9014.0
Japan,2006,311.34,280.04,154.21,304.29,88.81,2.0,2.13,21.53,1164.35,9.8,9097.0
Japan,2007,317.31,296.85,185.18,279.01,74.51,2.31,2.74,22.2,1180.11,8.6,9213.0
Japan,2008,333.7,324.83,171.45,251.74,75.16,2.59,2.94,21.29,1183.7,8.6,9236.0
Japan,2009,312.08,324.72,105.29,274.65,70.47,3.05,3.43,20.33,1114.02,8.7,8690.0
Japan,2010,316.85,326.09,102.5,292.36,88.5,3.98,3.93,21.83,1156.04,10.2,9019.0
Japan,2011,285.07,379.83,162.87,162.93,82.49,5.44,4.46,21.11,1104.2,10.3,8620.0
Japan,2012,334.3,435.49,207.77,17.99,77.1,7.37,4.73,22.13,1106.88,10.1,8652.0
Japan,2013,362.55,423.58,166.48,14.6,79.33,12.91,5.13,23.18,1087.76,11.1,8517.0
Japan,2014,355.6,450.88,122.34,0.0,81.71,23.55,5.01,23.63,1062.72,12.6,8336.0
Japan,2015,349.64,417.5,104.44,4.52,85.77,34.54,5.22,28.49,1030.12,15.0,8094.0
Japan,2016,338.59,458.43,97.23,17.68,79.43,43.33,5.34,23.67,1063.7,14.3,8365.0
Japan,2017,363.47,464.13,56.89,29.07,79.24,54.04,6.22,23.8,1076.86,15.2,8475.0
Japan,2018,360.66,445.61,52.21,49.11,81.0,61.22,7.37,25.75,1082.93,16.2,8533.0
Japan,2019,350.77,416.95,37.63,65.64,73.92,67.43,7.46,27.6,1047.4,16.8,8267.0
Japan,2020,340.25,409.44,25.31,43.0,78.33,75.92,8.41,30.37,1011.03,19.1,8005.0
Japan,2021,348.26,385.78,31.27,61.22,79.63,84.18,9.54,34.79,1034.67,20.1,8233.0
Japan,2022,350.99,378.84,45.78,51.77,74.87,91.07,9.42,37.83,1040.57,20.5,8325.0
Japan,2023,326.93,346.98,32.5,77.46,74.53,96.36,9.96,42.01,1006.73,22.1,8095.0
Mexico,1990,7.8,13.21,64.04,2.94,24.48,0.0,0.0,5.12,117.59,25.2,1420.0
Mexico,1991,9.24,18.93,67.69,4.24,22.62,0.0,0.0,5.83,128.57,22.1,1523.0
Mexico,1992,9.55,18.78,66.85,3.92,26.81,0.0,0.0,6.37,132.28,25.1,1537.0
Mexico,1993,11.56,19.07,65.92,4.93,26.66,0.0,0.0,6.5,134.64,24.6,1536.0
Mexico,1994,14.29,21.38,79.72,4.24,20.27,0.01,0.01,6.22,146.13,18.1,1637.0
Mexico,1995,15.48,22.4,70.01,8.44,27.6,0.01,0.01,6.41,150.36,22.6,1655.0
Mexico,1996,18.53,21.17,71.48,7.88,31.34,0.01,0.01,6.18,156.59,24.0,1694.0
Mexico,1997,18.39,23.12,82.51,10.46,26.36,0.01,0.01,5.88,166.75,19.3,1774.0
Mexico,1998,18.69,30.02,92.33,9.27,24.59,0.01,0.01,6.14,181.06,17.0,1894.0
Mexico,1999,18.61,32.91,89.66,10.0,32.71,0.01,0.02,6.06,189.98,20.4,1956.0
Mexico,2000,19.05,40.31,96.58,8.22,33.07,0.01,0.02,6.36,203.62,19.4,2065.0
Mexico,2001,23.17,50.86,92.74,8.73,28.44,0.01,0.02,6.25,210.22,16.5,2100.0
Mexico,2002,26.1,69.6,79.32,9.75,24.86,0.01,0.02,6.07,215.73,14.4,2124.0
Mexico,2003,30.9,80.58,76.09,10.5,19.85,0.01,0.02,6.95,224.9,11.9,2184.0
Mexico,2004,23.8,92.37,77.56,9.19,25.18,0.01,0.02,7.26,235.39,13.8,2255.0
Mexico,2005,32.81,86.48,82.0,10.8,27.71,0.01,0.02,8.14,247.97,14.5,2344.0
Mexico,2006,31.74,116.06,59.58,10.87,30.45,0.01,0.05,7.49,256.25,14.8,2389.0
Mexico,2007,31.57,128.79,56.63,10.42,27.34,0.01,0.25,8.25,263.26,13.6,2420.0
Mexico,2008,21.34,131.27,59.49,9.8,39.22,0.02,0.25,7.9,269.29,17.6,2440.0
Mexico,2009,29.44,138.16,54.76,10.5,26.72,0.03,0.6,7.55,267.76,13.0,2391.0
Mexico,2010,32.39,147.07,43.76,5.88,37.2,0.03,1.24,8.0,275.57,16.9,2425.0
Mexico,2011,33.78,153.52,48.83,10.09,36.27,0.04,1.65,7.97,292.15,15.7,2535.0
Mexico,2012,34.23,154.6,55.73,8.77,31.85,0.07,3.69,7.45,296.39,14.5,2537.0
Mexico,2013,31.74,165.78,47.68,11.8,27.96,0.11,4.18,7.87,297.12,13.5,2511.0
Mexico,2014,33.78,173.74,32.49,9.68,38.89,0.22,6.43,8.1,303.33,17.7,2532.0
Mexico,2015,33.76,185.55,31.23,11.58,30.89,0.2,8.75,8.4,310.36,15.5,2563.0
Mexico,2016,34.45,192.83,33.52,10.57,30.03,0.25,10.38,8.32,320.35,15.3,2620.0
Mexico,2017,30.86,197.7,38.87,10.88,30.88,1.19,10.62,8.09,329.09,15.4,2667.0
Mexico,2018,29.03,215.77,35.7,13.55,32.23,3.21,12.44,7.36,349.29,15.8,2804.0
Mexico,2019,32.68,208.41,34.79,11.19,23.6,9.96,16.73,7.21,344.57,16.7,2740.0
Mexico,2020,15.3,209.26,20.62,11.18,26.82,15.84,19.7,7.01,325.73,21.3,2569.0
Mexico,2021,7.38,195.73,31.47,11.92,34.72,20.19,21.07,6.11,328.59,25.0,2574.0
Mexico,2022,10.38,203.16,32.63,10.85,35.56,20.34,20.53,6.7,340.15,24.4,2645.0
Mexico,2023,13.53,219.24,35.26,12.39,20.61,23.34,20.7,6.63,351.7,20.3,2711.0
Netherlands,1990,25.01,36.53,4.84,3.5,0.09,0.0,0.06,0.67,70.7,1.2,4704.0
Netherlands,1991,22.66,41.01,5.29,3.33,0.1,0.0,0.09,0.74,73.22,1.3,4831.0
Netherlands,1992,22.63,43.46,4.95,3.8,0.12,0.0,0.15,0.73,75.84,1.3,4964.0
Netherlands,1993,21.41,44.12,5.3,3.95,0.09,0.0,0.17,0.84,75.88,1.4,4931.0
Netherlands,1994,24.11,43.54,5.38,3.97,0.1,0.0,0.24,0.92,78.26,1.6,5054.0
Netherlands,1995,27.4,42.01,4.94,4.02,0.09,0.0,0.32,1.0,79.78,1.8,5126.0
Netherlands,1996,25.82,47.08,5.19,4.16,0.08,0.0,0.44,1.3,84.07,2.2,5375.0
Netherlands,1997,24.44,50.66,5.58,2.41,0.09,0.0,0.47,1.45,85.1,2.4,5412.0
Netherlands,1998,26.43,51.06,5.77,3.81,0.11,0.0,0.64,1.57,89.39,2.6,5648.0
Netherlands,1999,21.92,51.15,5.75,3.83,0.09,0.01,0.64,1.77,85.16,2.9,5342.0
Netherlands,2000,24.28,51.52,5.36,3.93,0.14,0.01,0.83,1.99,88.06,3.4,5484.0
Netherlands,2001,25.48,53.77,5.6,3.98,0.12,0.01,0.83,2.35,92.14,3.6,5694.0
Netherlands,2002,25.99,55.28,5.48,3.91,0.11,0.02,0.95,2.9,94.64,4.2,5810.0
Netherlands,2003,26.57,55.02,5.9,4.02,0.07,0.03,1.32,2.54,95.47,4.1,5833.0
Netherlands,2004,24.95,59.99,5.76,3.82,0.09,0.03,1.87,3.31,99.82,5.3,6077.0
Netherlands,2005,23.5,57.6,5.97,4.0,0.09,0.04,2.07,5.26,98.53,7.6,5984.0
Netherlands,2006,23.74,57.14,5.11,3.47,0.11,0.04,2.74,5.17,97.52,8.3,5913.0
Netherlands,2007,24.92,61.01,5.96,4.2,0.11,0.04,3.44,4.0,103.68,7.3,6272.0
Netherlands,2008,23.48,63.36,5.67,4.17,0.1,0.04,4.26,5.13,106.21,9.0,6399.0
Netherlands,2009,24.28,68.87,4.12,4.25,0.1,0.04,4.58,6.11,112.35,9.6,6734.0
Netherlands,2010,22.59,75.33,5.02,3.97,0.1,0.06,3.99,7.04,118.1,9.5,7042.0
Netherlands,2011,21.39,69.47,5.32,4.14,0.06,0.1,5.1,7.06,112.64,10.9,6684.0
Netherlands,2012,24.21,56.56,5.12,3.91,0.1,0.19,4.98,7.2,102.27,12.2,6046.0
Netherlands,2013,24.61,56.07,4.89,2.89,0.11,0.41,5.63,5.95,100.56,12.0,5927.0
Netherlands,2014,29.49,51.52,5.35,4.09,0.11,0.73,5.8,5.01,102.1,11.4,5995.0
Netherlands,2015,39.39,45.81,6.02,4.08,0.09,1.11,7.55,4.94,108.99,12.6,6371.0
Netherlands,2016,36.82,52.53,5.87,3.96,0.1,1.6,8.17,4.91,113.96,13.0,6624.0
Netherlands,2017,31.38,57.73,6.1,3.4,0.06,2.2,10.57,4.6,116.04,15.0,6702.0
Netherlands,2018,27.58,57.63,5.5,3.51,0.07,3.71,10.55,4.55,113.1,16.7,6492.0
Netherlands,2019,17.69,70.72,4.93,3.91,0.07,5.4,11.51,5.82,120.05,19.0,6845.0
Netherlands,2020,7.62,72.52,5.0,4.09,0.05,8.57,15.27,8.84,121.96,26.8,6915.0
Netherlands,2021,14.6,56.69,5.33,3.83,0.09,11.3,18.13,10.92,120.89,33.5,6818.0
Netherlands,2022,14.8,47.74,5.16,4.16,0.05,16.66,21.57,9.82,119.96,40.1,6700.0
Netherlands,2023,8.71,46.09,4.33,3.99,0.07,19.61,29.52,7.64,119.96,47.4,6630.0
Norway,1990,0.04,0.0,0.21,0.0,121.14,0.0,0.0,0.21,121.6,99.8,28670.0
Norway,1991,0.05,0.0,0.17,0.0,110.13,0.0,0.0,0.21,110.56,99.8,25943.0
Norway,1992,0.05,0.0,0.16,0.0,116.67,0.0,0.0,0.23,117.11,99.8,27322.0
Norway,1993,0.05,0.01,0.18,0.0,119.23,0.0,0.01,0.24,119.72,99.8,27765.0
Norway,1994,0.06,0.15,0.19,0.0,111.64,0.0,0.01,0.27,112.32,99.6,25901.0
Norway,1995,0.06,0.19,0.17,0.0,121.53,0.0,0.01,0.29,122.25,99.7,28045.0
Norway,1996,0.05,0.28,0.19,0.0,103.86,0.0,0.01,0.3,104.69,99.5,23896.0
Norway,1997,0.04,0.24,0.19,0.0,109.78,0.0,0.01,0.24,110.5,99.6,25085.0
Norway,1998,0.04,0.22,0.18,0.0,115.7,0.0,0.01,0.27,116.42,99.6,26272.0
Norway,1999,0.04,0.28,0.22,0.0,121.45,0.0,0.03,0.27,122.29,99.6,27408.0
Norway,2000,0.04,0.21,0.16,0.0,141.82,0.0,0.03,0.26,142.52,99.7,31736.0
Norway,2001,0.04,0.24,0.3,0.0,120.46,0.0,0.03,0.25,121.32,99.5,26878.0
Norway,2002,0.04,0.2,0.3,0.0,129.37,0.0,0.08,0.25,130.24,99.6,28700.0
Norway,2003,0.04,0.3,0.3,0.0,105.48,0.0,0.22,0.33,106.67,99.4,23369.0
Norway,2004,0.04,0.37,0.3,0.0,108.78,0.0,0.25,0.36,110.1,99.4,23978.0
Norway,2005,0.04,0.38,0.31,0.0,135.69,0.0,0.5,0.33,137.25,99.5,29688.0
Norway,2006,0.04,0.47,0.31,0.0,119.37,0.0,0.64,0.39,121.22,99.3,26010.0
Norway,2007,0.04,0.76,0.37,0.0,133.66,0.0,0.89,0.39,136.11,99.1,28904.0
Norway,2008,0.04,0.44,0.36,0.0,139.04,0.0,0.91,0.4,141.19,99.4,29611.0
Norway,2009,0.04,4.23,0.22,0.0,125.28,0.0,0.97,0.23,130.97,96.6,27124.0
Norway,2010,0.04,4.8,0.34,0.0,116.74,0.0,0.87,0.35,123.14,95.8,25186.0
