signal	hub	bucket	skillId	confidence	score	targets
cli-pi	cli-external-orchestration	WRONG_HUB	cli-pi	0.95	0.603097	
cli-external-orchestration	cli-external-orchestration	DEFERRED	cli-external-orchestration	0.95	0.801897	
cli dispatch	cli-external-orchestration	DEFERRED	cli-external-orchestration	0.82	0.285227	
cross-ai delegation	cli-external-orchestration	DEFERRED	cli-external-orchestration	0.8762	0.662714	
executor delegation	cli-external-orchestration	DEFERRED	cli-external-orchestration	0.8672	0.646031	
opencode cli orchestration	cli-external-orchestration	WRONG_HUB	cli-opencode	0.95	0.850649	
full plugin runtime dispatch	cli-external-orchestration	NO_RECOMMENDATION				
in-opencode parallel session	cli-external-orchestration	WRONG_HUB	sk-code	0.9189	0.742091	
cross-ai handback opencode	cli-external-orchestration	WRONG_HUB	sk-code	0.95	0.840286	
ablation suite opencode	cli-external-orchestration	WRONG_HUB	sk-code	0.9088	0.723304	
worker farm opencode	cli-external-orchestration	WRONG_HUB	sk-code	0.9414	0.783962	
cli-opencode	cli-external-orchestration	WRONG_HUB	cli-opencode	0.95	0.848465	
cli opencode	cli-external-orchestration	WRONG_HUB	cli-opencode	0.95	0.848465	
minimax	cli-external-orchestration	NO_RECOMMENDATION				
minimax-coding-plan	cli-external-orchestration	NO_RECOMMENDATION				
minimax token plan	cli-external-orchestration	NO_RECOMMENDATION				
minimax-m3	cli-external-orchestration	NO_RECOMMENDATION				
minimax-coding-plan/MiniMax-M3	cli-external-orchestration	NO_RECOMMENDATION				
minimax m3	cli-external-orchestration	NO_RECOMMENDATION				
MiniMax-M3	cli-external-orchestration	NO_RECOMMENDATION				
minimax dispatch	cli-external-orchestration	NO_RECOMMENDATION				
tidd-ec framework	cli-external-orchestration	WRONG_HUB	sk-prompt	0.8951	0.69786	
xiaomi	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi token plan	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi-token-plan-ams	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi-api	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi api	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi direct	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi/mimo-v2.5-pro	cli-external-orchestration	NO_RECOMMENDATION				
mimo	cli-external-orchestration	NO_RECOMMENDATION				
mimo-v2.5-pro	cli-external-orchestration	NO_RECOMMENDATION				
mimo pro	cli-external-orchestration	NO_RECOMMENDATION				
xiaomi-token-plan-ams/mimo-v2.5-pro	cli-external-orchestration	NO_RECOMMENDATION				
deepseek-v4-pro	cli-external-orchestration	NO_RECOMMENDATION				
deepseek-v4	cli-external-orchestration	NO_RECOMMENDATION				
deepseek dispatch	cli-external-orchestration	NO_RECOMMENDATION				
kimi-k2.7-code	cli-external-orchestration	WRONG_HUB	sk-code	0.82	0.488087	
kimi-k2.7	cli-external-orchestration	NO_RECOMMENDATION				
kimi k2.7 code	cli-external-orchestration	WRONG_HUB	sk-code	0.82	0.488087	
kimi-for-coding	cli-external-orchestration	NO_RECOMMENDATION				
kimi for coding	cli-external-orchestration	NO_RECOMMENDATION				
kimi-for-coding/k2p7	cli-external-orchestration	NO_RECOMMENDATION				
kimi-k2.6	cli-external-orchestration	NO_RECOMMENDATION				
kimi	cli-external-orchestration	NO_RECOMMENDATION				
kimi dispatch	cli-external-orchestration	NO_RECOMMENDATION				
qwen3.6	cli-external-orchestration	NO_RECOMMENDATION				
qwen	cli-external-orchestration	NO_RECOMMENDATION				
qwen dispatch	cli-external-orchestration	NO_RECOMMENDATION				
glm-5.2	cli-external-orchestration	NO_RECOMMENDATION				
glm	cli-external-orchestration	NO_RECOMMENDATION				
glm dispatch	cli-external-orchestration	NO_RECOMMENDATION				
zai-coding-plan	cli-external-orchestration	NO_RECOMMENDATION				
z.ai coding plan	cli-external-orchestration	NO_RECOMMENDATION				
glm coding plan	cli-external-orchestration	NO_RECOMMENDATION				
zai-coding-plan/glm-5.2	cli-external-orchestration	NO_RECOMMENDATION				
claude code cli orchestration	cli-external-orchestration	WRONG_HUB	cli-claude-code	0.95	0.821633	
delegate to claude code	cli-external-orchestration	WRONG_HUB	cli-claude-code	0.95	0.810011	
anthropic cli second opinion	cli-external-orchestration	WRONG_HUB	cli-claude-code	0.95	0.299764	
structured claude code output	cli-external-orchestration	WRONG_HUB	cli-claude-code	0.95	0.673229	
cli-claude-code	cli-external-orchestration	WRONG_HUB	cli-claude-code	0.95	0.816164	
cli claude code	cli-external-orchestration	WRONG_HUB	cli-claude-code	0.95	0.816164	
claude-code	cli-external-orchestration	NO_RECOMMENDATION				
claude-cli	cli-external-orchestration	DEFERRED	cli-external-orchestration	0.8739	0.658348	
anthropic	cli-external-orchestration	NO_RECOMMENDATION				
cli codex	cli-external-orchestration	WRONG_HUB	cli-codex	0.95	0.705227	
codex cli orchestration	cli-external-orchestration	WRONG_HUB	cli-codex	0.95	0.808342	
openai coding agent	cli-external-orchestration	RESOLVED	cli-external-orchestration	0.82	0.27643	cli-codex
codex web search	cli-external-orchestration	RESOLVED	cli-external-orchestration	0.82	0.33663	cli-codex
codex diff review	cli-external-orchestration	WRONG_HUB	sk-code	0.9444	0.789661	
codex sandbox	cli-external-orchestration	NO_RECOMMENDATION				
gpt codex dispatch	cli-external-orchestration	WRONG_HUB	cli-codex	0.95	0.27643	
cli cursor	cli-external-orchestration	WRONG_HUB	cli-cursor	0.95	0.696431	
cursor composer	cli-external-orchestration	WRONG_HUB	cli-cursor	0.95	0.69643	
cursor plan mode	cli-external-orchestration	WRONG_HUB	cli-cursor	0.95	0.295601	
cursor ask mode	cli-external-orchestration	WRONG_HUB	cli-cursor	0.95	0.27643	
cursor worktree	cli-external-orchestration	WRONG_HUB	cli-cursor	0.95	0.598679	
cursor cloud worker	cli-external-orchestration	WRONG_HUB	cli-cursor	0.95	0.183097	
cli devin	cli-external-orchestration	WRONG_HUB	cli-devin	0.95	0.69643	
devin-handoff	cli-external-orchestration	RESOLVED	cli-external-orchestration	0.82	0.26889	cli-devin
cognition-cli	cli-external-orchestration	DEFERRED	cli-external-orchestration	0.82	0.27643	
delegate-to-devin	cli-external-orchestration	RESOLVED	cli-external-orchestration	0.82	0.283938	cli-devin
devin subagent	cli-external-orchestration	NO_RECOMMENDATION				
devin cloud handoff	cli-external-orchestration	RESOLVED	cli-external-orchestration	0.82	0.27643	cli-devin
swe-1.6 dispatch	cli-external-orchestration	NO_RECOMMENDATION				
pi json event stream	cli-external-orchestration	WRONG_HUB	sk-code	0.8268	0.570794	
pi rpc integration	cli-external-orchestration	NO_RECOMMENDATION				
pi community package	cli-external-orchestration	NO_RECOMMENDATION				
deep loop workflow	system-deep-loop	DEFERRED	system-deep-loop	0.9264	0.756045	
deep-research	system-deep-loop	RESOLVED	system-deep-loop	0.8861	0.681057	research
deep-review	system-deep-loop	WRONG_HUB	sk-design	0.82	0.297255	
deep-ai-council	system-deep-loop	RESOLVED	system-deep-loop	0.8897	0.687878	ai-council
deep-improvement	system-deep-loop	DEFERRED	system-deep-loop	0.8861	0.681057	
research loop	system-deep-loop	RESOLVED	system-deep-loop	0.9362	0.77439	research
iterative review loop	system-deep-loop	RESOLVED	system-deep-loop	0.95	0.812412	review
deep-review wave	system-deep-loop	RESOLVED	system-deep-loop	0.95	0.812412	review
release readiness	system-deep-loop	DEFERRED	system-deep-loop	0.9418	0.78479	
ai council deliberation	system-deep-loop	RESOLVED	system-deep-loop	0.9399	0.781212	ai-council
agent improvement benchmark	system-deep-loop	DEFERRED	system-deep-loop	0.8897	0.687878	
system-deep-loop	system-deep-loop	DEFERRED	system-deep-loop	0.95	0.800712	
deep-loop-workflows	system-deep-loop	DEFERRED	system-deep-loop	0.8852	0.679478	
deep loop workflows	system-deep-loop	DEFERRED	system-deep-loop	0.8852	0.679478	
deep research	system-deep-loop	RESOLVED	system-deep-loop	0.9362	0.77439	research
iterative investigation workflow	system-deep-loop	RESOLVED	system-deep-loop	0.82	0.287378	research
autoresearch	system-deep-loop	RESOLVED	system-deep-loop	0.82	0.439309	research
deep review	system-deep-loop	DEFERRED	system-deep-loop	0.95	0.80559	
review loop	system-deep-loop	RESOLVED	system-deep-loop	0.95	0.80559	review
severity weighted findings	system-deep-loop	WRONG_HUB	sk-code	0.82	0.534068	
convergence review	system-deep-loop	RESOLVED	system-deep-loop	0.9191	0.74259	review
multi-seat planning council	system-deep-loop	RESOLVED	system-deep-loop	0.9399	0.781212	ai-council
council convergence	system-deep-loop	RESOLVED	system-deep-loop	0.8635	0.639056	ai-council
improve agent	system-deep-loop	NO_RECOMMENDATION				
evaluate agent	system-deep-loop	NO_RECOMMENDATION				
score agent candidate	system-deep-loop	NO_RECOMMENDATION				
agent-improvement	system-deep-loop	RESOLVED	system-deep-loop	0.82	0.544145	agent-improvement
model benchmark	system-deep-loop	WRONG_HUB	deep-model-benchmark	0.8461	0.606667	
benchmark a model or prompt framework	system-deep-loop	WRONG_HUB	sk-prompt	0.95	0.845686	
skill benchmark	system-deep-loop	DEFERRED	system-deep-loop	0.8251	0.567654	
