hub	signal	bucket	top	score	targets
cli-external-orchestration	pi json event stream	RESOLVED	cli-external-orchestration	0.230698	cli-pi
cli-external-orchestration	pi rpc integration	RESOLVED	cli-external-orchestration	0.119165	cli-pi
cli-external-orchestration	pi community package	RESOLVED	cli-external-orchestration	0.119165	cli-pi
cli-external-orchestration	cli pi	RESOLVED	cli-external-orchestration	0.632498	cli-pi
cli-external-orchestration	parallel opencode session	RESOLVED	cli-external-orchestration	0.435565	cli-opencode
cli-external-orchestration	detached opencode session	RESOLVED	cli-external-orchestration	0.435565	cli-opencode
system-deep-loop	deep loop workflow	DEFERRED	system-deep-loop	0.755986	
system-deep-loop	deep-research	RESOLVED	system-deep-loop	0.680935	research
system-deep-loop	deep-review	WRONG_HUB	sk-design	0.297227	
system-deep-loop	deep-ai-council	RESOLVED	system-deep-loop	0.687746	ai-council
system-deep-loop	deep-improvement	RESOLVED	system-deep-loop	0.680935	agent-improvement
system-deep-loop	research loop	RESOLVED	system-deep-loop	0.774269	research
system-deep-loop	iterative review loop	RESOLVED	system-deep-loop	0.812279	review
system-deep-loop	deep-review wave	RESOLVED	system-deep-loop	0.812279	review
system-deep-loop	release readiness	RESOLVED	system-deep-loop	0.784669	review
system-deep-loop	ai council deliberation	RESOLVED	system-deep-loop	0.781079	ai-council
system-deep-loop	agent improvement benchmark	RESOLVED	system-deep-loop	0.687746	agent-improvement
system-deep-loop	system-deep-loop	DEFERRED	system-deep-loop	0.800579	
system-deep-loop	deep-loop-workflows	DEFERRED	system-deep-loop	0.679346	
system-deep-loop	deep loop workflows	DEFERRED	system-deep-loop	0.679346	
system-deep-loop	deep research	RESOLVED	system-deep-loop	0.774269	research
system-deep-loop	iterative investigation workflow	RESOLVED	system-deep-loop	0.287246	research
system-deep-loop	autoresearch	RESOLVED	system-deep-loop	0.439224	research
system-deep-loop	deep review	RESOLVED	system-deep-loop	0.805469	review
system-deep-loop	review loop	RESOLVED	system-deep-loop	0.805469	review
system-deep-loop	severity weighted findings	WRONG_HUB	sk-code	0.534068	sk-code-review
system-deep-loop	convergence review	RESOLVED	system-deep-loop	0.742469	review
system-deep-loop	multi-seat planning council	RESOLVED	system-deep-loop	0.781079	ai-council
system-deep-loop	council convergence	RESOLVED	system-deep-loop	0.638935	ai-council
system-deep-loop	improve agent	NO_RECOMMENDATION			
system-deep-loop	evaluate agent	NO_RECOMMENDATION			
system-deep-loop	score agent candidate	NO_RECOMMENDATION			
system-deep-loop	agent-improvement	RESOLVED	system-deep-loop	0.544013	agent-improvement
system-deep-loop	model benchmark	WRONG_HUB	deep-model-benchmark	0.606667	
system-deep-loop	benchmark a model or prompt framework	WRONG_HUB	sk-prompt	0.838108	
system-deep-loop	skill benchmark	RESOLVED	system-deep-loop	0.567483	skill-benchmark
